task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,exec_time_sec,old_104w_n,old_104w_mae_weeks,cr_detection_auc,cr_cohens_d
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE120137,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,549,0.6312,19.62,13.055,26.898,0.1328,19.62,15.2,0,,,
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE121141,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,81,0.5496,29.15,19.055,39.081,-0.0236,29.15,18.0,19,62.492,,
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE80672,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,255,0.9071,17.641,15.919,22.637,0.7608,17.641,29.4,74,13.38,0.8159,1.1586
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE60012,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,152,0.7074,9.131,5.921,13.251,-1.3261,9.131,13.4,0,,,
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE93957,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,62,0.793,8.073,6.825,10.028,0.5282,8.073,35.6,0,,,
lodo::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003::GSE213628,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,120,0.6749,21.169,17.975,26.865,0.4414,21.169,14.6,42,26.981,,
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE120137,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,549,0.6321,21.093,15.999,27.89,0.0677,21.093,16.1,0,,,
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE80672,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,255,0.9165,15.426,12.762,20.041,0.8125,15.426,23.5,74,14.15,0.8349,1.2529
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE93957,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,62,0.7832,8.02,5.072,10.498,0.4829,8.02,21.7,0,,,
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE121141,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,81,0.6068,27.043,19.32,37.064,0.0794,27.043,28.1,19,58.685,,
